asset,tenor,moneyness,column,origins,populated,coverage
AMZN,dte_8_30,m_103_110,rp4_iv_dte_8_30_m_103_110,32580,32513,0.9979435236341314
AMZN,dte_8_30,m_gt110,rp4_iv_dte_8_30_m_gt110,32580,31749,0.9744935543278085
AMZN,dte_8_30,m_lt090,rp4_iv_dte_8_30_m_lt090,32580,32097,0.9851749539594844
AMZN,dte_gt90,m_090_097,rp4_iv_dte_gt90_m_090_097,32580,32033,0.9832105586249232
AMZN,dte_gt90,m_097_103,rp4_iv_dte_gt90_m_097_103,32580,32433,0.9954880294659301
AMZN,dte_gt90,m_103_110,rp4_iv_dte_gt90_m_103_110,32580,32223,0.9890423572744015
AMZN,dte_gt90,m_gt110,rp4_iv_dte_gt90_m_gt110,32580,32497,0.9974524248004911
AMZN,dte_gt90,m_lt090,rp4_iv_dte_gt90_m_lt090,32580,32485,0.9970841006752609
META,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,32579,18075,0.5548052426409651
META,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,32579,18506,0.568034623530495
META,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,32579,16886,0.5183093403726327
META,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,32579,6585,0.2021240676509408
META,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,32579,11647,0.3575002302096443
META,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,32579,28174,0.8647902022775408
META,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,32579,28194,0.8654040946622057
META,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,32579,28189,0.8652506215660395
META,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,32579,22250,0.6829552779397772
META,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,32579,24920,0.7649099112925504
META,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,32579,32092,0.985051720433408
META,dte_31_90,m_097_103,rp4_iv_dte_31_90_m_097_103,32579,32472,0.9967156757420425
META,dte_31_90,m_103_110,rp4_iv_dte_31_90_m_103_110,32579,32208,0.9886122962644648
META,dte_31_90,m_gt110,rp4_iv_dte_31_90_m_gt110,32579,32134,0.9863408944412044
META,dte_31_90,m_lt090,rp4_iv_dte_31_90_m_lt090,32579,32142,0.9865864513950704
META,dte_8_30,m_090_097,rp4_iv_dte_8_30_m_090_097,32579,32494,0.9973909573651739
META,dte_8_30,m_097_103,rp4_iv_dte_8_30_m_097_103,32579,32511,0.9979127658921391
META,dte_8_30,m_103_110,rp4_iv_dte_8_30_m_103_110,32579,32508,0.9978206820344394
META,dte_8_30,m_gt110,rp4_iv_dte_8_30_m_gt110,32579,31826,0.976886951717364
META,dte_8_30,m_lt090,rp4_iv_dte_8_30_m_lt090,32579,32141,0.9865557567758372
META,dte_gt90,m_090_097,rp4_iv_dte_gt90_m_090_097,32579,30534,0.937229503668007
META,dte_gt90,m_097_103,rp4_iv_dte_gt90_m_097_103,32579,32110,0.9856042235796065
META,dte_gt90,m_103_110,rp4_iv_dte_gt90_m_103_110,32579,31055,0.9532214002885294
META,dte_gt90,m_gt110,rp4_iv_dte_gt90_m_gt110,32579,32320,0.9920500936185886
META,dte_gt90,m_lt090,rp4_iv_dte_gt90_m_lt090,32579,32396,0.9943828846803155
MSFT,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,32580,17023,0.5224984653161449
MSFT,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,32580,18290,0.5613873542050337
MSFT,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,32580,13959,0.42845303867403317
MSFT,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,32580,2654,0.08146101903007981
MSFT,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,32580,7019,0.215438919582566
MSFT,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,32580,28034,0.8604665438919582
MSFT,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,32580,28195,0.8654082259054635
MSFT,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,32580,27814,0.8537139349294045
MSFT,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,32580,12637,0.38787599754450586
MSFT,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,32580,18500,0.5678330263965623
MSFT,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,32580,32276,0.9906691221608349
MSFT,dte_31_90,m_097_103,rp4_iv_dte_31_90_m_097_103,32580,32483,0.9970227133210559
MSFT,dte_31_90,m_103_110,rp4_iv_dte_31_90_m_103_110,32580,32410,0.9947820748925721
MSFT,dte_31_90,m_gt110,rp4_iv_dte_31_90_m_gt110,32580,30921,0.9490791896869245
MSFT,dte_31_90,m_lt090,rp4_iv_dte_31_90_m_lt090,32580,31516,0.967341927562922
MSFT,dte_8_30,m_090_097,rp4_iv_dte_8_30_m_090_097,32580,32477,0.9968385512584408
MSFT,dte_8_30,m_097_103,rp4_iv_dte_8_30_m_097_103,32580,32512,0.9979128299570289
MSFT,dte_8_30,m_103_110,rp4_iv_dte_8_30_m_103_110,32580,32492,0.9972989564149786
MSFT,dte_8_30,m_gt110,rp4_iv_dte_8_30_m_gt110,32580,27177,0.8341620626151013
MSFT,dte_8_30,m_lt090,rp4_iv_dte_8_30_m_lt090,32580,30436,0.9341927562922038
MSFT,dte_gt90,m_090_097,rp4_iv_dte_gt90_m_090_097,32580,31807,0.9762737875997545
MSFT,dte_gt90,m_097_103,rp4_iv_dte_gt90_m_097_103,32580,32376,0.9937384898710866
MSFT,dte_gt90,m_103_110,rp4_iv_dte_gt90_m_103_110,32580,32081,0.9846838551258441
MSFT,dte_gt90,m_gt110,rp4_iv_dte_gt90_m_gt110,32580,32385,0.9940147329650092
MSFT,dte_gt90,m_lt090,rp4_iv_dte_gt90_m_lt090,32580,32198,0.9882750153468386
NVDA,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,32580,18419,0.5653468385512584
NVDA,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,32580,18468,0.5668508287292817
NVDA,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,32580,17814,0.5467771639042357
NVDA,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,32580,8999,0.27621240024554944
NVDA,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,32580,16315,0.5007673419275629
NVDA,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,32580,28195,0.8654082259054635
NVDA,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,32580,28195,0.8654082259054635
NVDA,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,32580,28195,0.8654082259054635
NVDA,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,32580,26823,0.8232965009208103
NVDA,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,32580,28049,0.860926949048496
NVDA,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,32580,32500,0.9975445058317987
NVDA,dte_31_90,m_097_103,rp4_iv_dte_31_90_m_097_103,32580,32505,0.9976979742173112
NVDA,dte_31_90,m_103_110,rp4_iv_dte_31_90_m_103_110,32580,32500,0.9975445058317987
NVDA,dte_31_90,m_gt110,rp4_iv_dte_31_90_m_gt110,32580,32505,0.9976979742173112
NVDA,dte_31_90,m_lt090,rp4_iv_dte_31_90_m_lt090,32580,32505,0.9976979742173112
NVDA,dte_8_30,m_090_097,rp4_iv_dte_8_30_m_090_097,32580,32505,0.9976979742173112
NVDA,dte_8_30,m_097_103,rp4_iv_dte_8_30_m_097_103,32580,32505,0.9976979742173112
NVDA,dte_8_30,m_103_110,rp4_iv_dte_8_30_m_103_110,32580,32504,0.9976672805402087
NVDA,dte_8_30,m_gt110,rp4_iv_dte_8_30_m_gt110,32580,32500,0.9975445058317987
NVDA,dte_8_30,m_lt090,rp4_iv_dte_8_30_m_lt090,32580,32504,0.9976672805402087
NVDA,dte_gt90,m_090_097,rp4_iv_dte_gt90_m_090_097,32580,32475,0.9967771639042358
NVDA,dte_gt90,m_097_103,rp4_iv_dte_gt90_m_097_103,32580,32505,0.9976979742173112
NVDA,dte_gt90,m_103_110,rp4_iv_dte_gt90_m_103_110,32580,32491,0.9972682627378759
NVDA,dte_gt90,m_gt110,rp4_iv_dte_gt90_m_gt110,32580,32504,0.9976672805402087
NVDA,dte_gt90,m_lt090,rp4_iv_dte_gt90_m_lt090,32580,32505,0.9976979742173112
TSLA,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,32580,18555,0.5695211786372008
TSLA,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,32580,18608,0.5711479435236342
TSLA,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,32580,18550,0.5693677102516882
TSLA,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,32580,13773,0.422744014732965
TSLA,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,32580,15390,0.4723756906077348
TSLA,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,32580,28192,0.865316144874156
TSLA,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,32580,28192,0.865316144874156
TSLA,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,32580,28192,0.865316144874156
TSLA,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,32580,28089,0.8621546961325967
TSLA,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,32580,28045,0.8608041743400859
TSLA,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,32580,32477,0.9968385512584408
TSLA,dte_31_90,m_097_103,rp4_iv_dte_31_90_m_097_103,32580,32507,0.9977593615715162
TSLA,dte_31_90,m_103_110,rp4_iv_dte_31_90_m_103_110,32580,32497,0.9974524248004911
TSLA,dte_31_90,m_gt110,rp4_iv_dte_31_90_m_gt110,32580,32510,0.9978514426028238
TSLA,dte_31_90,m_lt090,rp4_iv_dte_31_90_m_lt090,32580,32509,0.9978207489257213
TSLA,dte_8_30,m_090_097,rp4_iv_dte_8_30_m_090_097,32580,32509,0.9978207489257213
TSLA,dte_8_30,m_097_103,rp4_iv_dte_8_30_m_097_103,32580,32510,0.9978514426028238
TSLA,dte_8_30,m_103_110,rp4_iv_dte_8_30_m_103_110,32580,32511,0.9978821362799264
TSLA,dte_8_30,m_gt110,rp4_iv_dte_8_30_m_gt110,32580,32511,0.9978821362799264
TSLA,dte_8_30,m_lt090,rp4_iv_dte_8_30_m_lt090,32580,32507,0.9977593615715162
TSLA,dte_gt90,m_090_097,rp4_iv_dte_gt90_m_090_097,32580,32171,0.9874462860650706
TSLA,dte_gt90,m_097_103,rp4_iv_dte_gt90_m_097_103,32580,32473,0.9967157765500307
TSLA,dte_gt90,m_103_110,rp4_iv_dte_gt90_m_103_110,32580,32307,0.9916206261510129
TSLA,dte_gt90,m_gt110,rp4_iv_dte_gt90_m_gt110,32580,32510,0.9978514426028238
TSLA,dte_gt90,m_lt090,rp4_iv_dte_gt90_m_lt090,32580,32508,0.9977900552486187
