horizon_minutes,information_set,family,stage,alpha,l1_ratio,N_sessions,N_calendar,eligible_sessions,attempted_sessions,converged_sessions,excluded_sessions,active_after_stage_sessions,not_attempted_sessions,selected_sessions,exclusion_frequency,status
15,B1,log_elastic_net,refit,1.0,0.9,419,419,419,0,0,0,419,419,0,0.0,COMPLETE
15,B2,log_elastic_net,inner_fit,0.0001,0.1,419,419,419,419,419,0,419,0,127,0.0,COMPLETE
15,B2,log_elastic_net,refit,0.0001,0.1,419,419,419,127,127,0,419,292,127,0.0,COMPLETE
15,B2,log_elastic_net,inner_fit,0.0001,0.5,419,419,419,419,419,0,419,0,30,0.0,COMPLETE
15,B2,log_elastic_net,refit,0.0001,0.5,419,419,419,30,30,0,419,389,30,0.0,COMPLETE
15,B2,log_elastic_net,inner_fit,0.0001,0.9,419,419,419,419,419,0,419,0,63,0.0,COMPLETE
15,B2,log_elastic_net,refit,0.0001,0.9,419,419,419,63,63,0,419,356,63,0.0,COMPLETE
15,B2,log_elastic_net,inner_fit,0.01,0.1,419,419,419,419,419,0,419,0,70,0.0,COMPLETE
15,B2,log_elastic_net,refit,0.01,0.1,419,419,419,70,70,0,419,349,70,0.0,COMPLETE
15,B2,log_elastic_net,inner_fit,0.01,0.5,419,419,419,419,419,0,419,0,54,0.0,COMPLETE
15,B2,log_elastic_net,refit,0.01,0.5,419,419,419,54,54,0,419,365,54,0.0,COMPLETE
15,B2,log_elastic_net,inner_fit,0.01,0.9,419,419,419,419,419,0,419,0,62,0.0,COMPLETE
15,B2,log_elastic_net,refit,0.01,0.9,419,419,419,62,62,0,419,357,62,0.0,COMPLETE
15,B2,log_elastic_net,inner_fit,1.0,0.1,419,419,419,419,419,0,419,0,13,0.0,COMPLETE
15,B2,log_elastic_net,refit,1.0,0.1,419,419,419,13,13,0,419,406,13,0.0,COMPLETE
15,B2,log_elastic_net,inner_fit,1.0,0.5,419,419,419,419,419,0,419,0,0,0.0,COMPLETE
15,B2,log_elastic_net,refit,1.0,0.5,419,419,419,0,0,0,419,419,0,0.0,COMPLETE
15,B2,log_elastic_net,inner_fit,1.0,0.9,419,419,419,419,419,0,419,0,0,0.0,COMPLETE
15,B2,log_elastic_net,refit,1.0,0.9,419,419,419,0,0,0,419,419,0,0.0,COMPLETE
